title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
알라딘-램프의 신,ADVENTURES OF ALADDIN,2019,"어드벤처,판타지","애덤 홀릭(알라딘),다니엘 오라일리(비지에르 마그레브),루시아 자이프테라스(샤흐자디)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019644.jpg
라스트 엑소시즘 3,AMERICAN EXORCISM,2019,공포,"브랙스턴 데이비스(윌),마이클 필리포위치(악마),윌리엄 맥키니(파드레)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019643.jpg
폴리스 스토리2 - 구룡의 눈,POLICE STORY PART II,2019,"액션,범죄","성룡,장만옥",http://file.koreafilm.or.kr/thm/02/00/04/02/TN_DPF011300.jpg
라멘덕후,RAMEN HEADS,2019,"인물,문화","토미타 오사무(본인),이다 쇼우타(본인)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPB000915.jpg
더 퀘이크: 오슬로 대지진,THE QUAKE,2019,"액션,드라마,스릴러","크리스토퍼 요너(크리스티안 아이크요르드),아네 달 토르프(이둔 카를센),에디트 하겐루드-산드레(줄리아 아이크요르드)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019641.jpg
지옥의 묵시록 리덕스,APOCALYPSE NOW REDUX,2019,"액션,드라마,어드벤처,전쟁","말론 브란도,로버트 듀발,마틴 쉰",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019640.jpg
쥬라기 펫의 모험,THE ADVENTURES OF JURASSIC PET: CHAPTER ONE,2019,"어드벤처,판타지,가족","카일러 벡(크리스),벤 홀(올드 맨/홈리스 맨),데이빗 플레처-홀(뮤지엄 맨)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019638.jpg
갱,GANG (GAENG),2019,"액션,코메디","차지혁(지훈),조선기(대호),옥윤중(용식)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015307.jpg
황비홍 - 전설의 묵룡도를 찾아서,THE KING IS INVINCIBLE,2019,"액션,코메디,어드벤처","설강도(황비홍),마요요(소균/십삼이),양건룡(귀각칠)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019637.jpg
신 테니스의 왕자: 베스트 게임즈!! 후지 VS 키리하라,THE PRINCE OF TENNIS: BEST GAMES!! FUJI VS KIRIHARA,2019,스포츠,"카이다 유키(후지 슈스케 목소리),모리쿠보 쇼타로(키리하라 아카야 목소리),미나가와 쥰코(에치젠 료마 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019629.jpg
몽마르트 파파,FATHER OF MONTMARTRE (MONGMAREUTEU PAPA),2019,인물,"민형식(아버지(본인)),이은숙(어머니(본인)),민병우(내레이션(아들))",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPA001037.jpg
여배우들의 동행,A COMPANION OF ACTRESSES (YEOBAEUDEURUI DONGHAENG),2019,드라마,"강양은,조성희(성희),최수경",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015304.jpg
